compound_id,canonical_smiles,task,branch,pair_id,target_uniprot,offtarget_uniprot,seed_record_id,seed_zinc_id,similarity_to_seed,MW,cLogP,TPSA,rotatable_bonds,HBD,HBA,QED,SA,detail_target_median,detail_offtarget_median,detail_dd_median,detail_dd_worst,detail_dd_sd,seed_detail_dd_median,dd_change_vs_seed,target_pose_stable,offtarget_pose_stable,ames,bbb,bioavailability,cyp1a2_inhibition,cyp2c19_inhibition,cyp2c9_inhibition,cyp2d6_inhibition,cyp3a4_inhibition,carcinogenicity,clintox,dili,hia,pampa,pgp_inhibition,herg,caco2,hepatocyte_clearance,microsome_clearance,half_life,solubility,vdss,cross_domain_shortlist,mmgbsa_baseline_complete,mmgbsa_dual_endpoint_improved,mmgbsa_status,final_selected
A6PX-P051-0013,CC(=O)N[C@H](C)c1ccc(N2CCC(F)(F)[C@@]3(CCN(c4cnccn4)C3)C2)nc1,51_p20309_partial,partial,P11229__P20309,P20309,P11229,51_p20309_partial::ZINC001164914336,ZINC001164914336,0.5217391304347826,416.4760000000003,2.8108000000000013,74.25,4,1,6,0.8263441581863809,4.263513139604231,-7.353,-5.695,-1.6579999999999995,-1.5899999999999999,0.08303145321034819,-1.601,-0.056999999999999496,True,False,0.36954499781131744,0.8102751731872558,0.8933566451072693,0.014209083281457424,0.021404828876256943,0.028455744683742522,0.02435616608709097,0.3994227409362793,0.07697820588946343,0.7329286694526672,0.48336431980133054,0.9988255381584168,0.9080581784248352,0.03640908394008875,0.6092596292495728,-5.308419661628204,32.99355990379395,27.424960674977136,-4.293140944632675,-4.034401747056174,4.96907461163941,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P051-0035,FC1(F)CCN(c2ccc([C@@H]3CC=CO3)cn2)C[C@]12CCN(c1cnccn1)C2,51_p20309_partial,partial,P11229__P20309,P20309,P11229,51_p20309_partial::ZINC001164914336,ZINC001164914336,0.5606060606060606,399.4450000000002,3.5888000000000018,54.38,3,0,6,0.786370261764737,4.644148191283194,-7.378,-5.767,-1.646,-1.6000000000000005,0.03755884272267525,-1.601,-0.04499999999999993,True,False,0.5196417808532715,0.8771425008773803,0.9121543407440186,0.1066085085272789,0.1906574100255966,0.1790629059076309,0.04368471130728722,0.6499933362007141,0.07238243259489537,0.5617031335830689,0.5273849606513977,0.9997640609741211,0.9631280422210693,0.09423426613211631,0.7542468428611755,-5.155360192248788,70.14124180816512,43.33406737605665,-4.164894103786987,-4.661863155893455,0.7261596026203507,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P051-0034,FC1(F)CCN(c2ccc([C@H]3CCOC3)cn2)C[C@]12CCN(c1cnccn1)C2,51_p20309_partial,partial,P11229__P20309,P20309,P11229,51_p20309_partial::ZINC001164914336,ZINC001164914336,0.609375,401.4610000000002,3.1176000000000013,54.38,3,0,6,0.7878493766477989,4.391820770468714,-7.406,-5.764,-1.6399999999999997,-1.4499999999999993,0.09226893060806327,-1.601,-0.0389999999999997,True,False,0.5479513943195343,0.9360024094581604,0.9371262669563294,0.11534753143787384,0.188448728621006,0.20302871614694595,0.023013324476778507,0.6145971715450287,0.07188327983021736,0.6488216519355774,0.4914495646953583,0.9999026656150818,0.9807546377182007,0.11030793860554695,0.8082359552383422,-5.002677969304102,58.08424181282862,37.501345579242994,4.4188590197496485,-4.642628266455953,2.2234080302949195,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P051-0039,O=C(NC1CCCC1)c1ccc(N2CCC(F)(F)[C@@]3(CCN(c4cnccn4)C3)C2)nc1,51_p20309_partial,partial,P11229__P20309,P20309,P11229,51_p20309_partial::ZINC001164914336,ZINC001164914336,0.5142857142857142,442.51400000000024,3.286100000000002,74.25,4,1,6,0.78347064697188,3.8973078346068633,-7.515,-5.887,-1.6280000000000001,-1.5440000000000005,0.05382275437850502,-1.601,-0.027000000000000135,False,False,0.4885068297386169,0.8986366033554077,0.8992739319801331,0.10777825117111206,0.26232830286026,0.24289968609809875,0.04583355262875557,0.8617372632026672,0.11667206808924675,0.6763715505599975,0.6542250692844391,0.9997648477554322,0.951427698135376,0.11644038259983062,0.7903027653694152,-5.3181693559647725,32.12043043063021,33.23768908758284,17.144976268837162,-5.093453481097512,6.024897730046517,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P051-0036,CN(C)C(=O)c1ccc(N2CCC(F)(F)[C@@]3(CCN(c4cnccn4)C3)C2)nc1,51_p20309_partial,partial,P11229__P20309,P20309,P11229,51_p20309_partial::ZINC001164914336,ZINC001164914336,0.5538461538461539,402.4490000000002,2.3155,65.46000000000001,3,0,6,0.7851904027179976,3.9670928269621957,-7.227,-5.628,-1.6159999999999997,-1.4289999999999994,0.09009747807544681,-1.601,-0.01499999999999968,True,False,0.4221710920333862,0.9139973998069764,0.9181510448455811,0.04768034890294075,0.04436241015791893,0.03980433270335197,0.009487142600119115,0.33350091576576235,0.0894659984856844,0.6289549052715302,0.555047070980072,0.9995460867881775,0.9716310501098633,0.051631278544664386,0.7115724503993988,-5.007136728893495,30.779335012108156,26.217940328993638,-11.040370419747337,-3.603820949052941,3.845366020554515,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P055-0129,O=C(c1cncc2ccccc12)N1CC[C@@]2(CNCCN(c3ncccn3)C2)C1,56_s1p1_full,full,P21453__Q99500,P21453,Q99500,56_s1p1_full::ZINC000096076727,ZINC000096076727,0.3333333333333333,388.47500000000014,1.9669,74.25,2,1,6,0.7235585664655239,3.615385911302697,-7.503,-5.754,-1.6849999999999996,-1.226,0.2329296508008851,-1.0540000000000003,-0.6309999999999993,False,True,0.20142134055495262,0.8338054180145263,0.8840535163879395,0.22471412271261215,0.03282052036374807,0.042586220614612105,0.2301461398601532,0.9114429712295532,0.06160128824412823,0.8133469939231872,0.6248445272445678,0.9996433973312377,0.8879933714866638,0.057786430418491366,0.9049137473106384,-5.159105992580278,44.41287310709552,28.92827271008263,5.286015303009063,-2.196670480058301,-1.384367643672821,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P055-0162,O=C(c1cccc2ccccc12)N1CCO[C@@]2(CNCCN(c3ncccn3)C2)C1,56_s1p1_full,full,P21453__Q99500,P21453,Q99500,56_s1p1_full::ZINC000096076727,ZINC000096076727,0.45454545454545453,403.48600000000016,1.9507999999999996,70.59,2,1,6,0.7053963049951097,3.5218915833928115,-7.658,-6.143,-1.5550000000000006,-1.2380000000000004,0.17743418185031018,-1.0540000000000003,-0.5010000000000003,False,False,0.5756673693656922,0.8793470144271851,0.9078459739685059,0.2951640248298645,0.14112252444028855,0.06551194787025452,0.13113367557525635,0.9102300643920899,0.10517800003290176,0.7995217561721801,0.862511956691742,0.9987303972244262,0.90745849609375,0.16579980105161668,0.8954694628715515,-4.921466501063472,48.1628147568338,41.00886485584096,22.76129539577221,-3.139200621331945,-4.936414163165589,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P055-0222,O=C1CN(C(=O)c2cncc3cccnc23)C[C@]2(CCCCN(c3ncccn3)C2)N1,56_s1p1_full,full,P21453__Q99500,P21453,Q99500,56_s1p1_full::ZINC000096076727,ZINC000096076727,0.2391304347826087,417.4730000000002,1.4210999999999998,104.21000000000001,2,1,7,0.6724116143109683,3.8455563374106845,-7.002,-5.679,-1.505,-1.0659999999999998,0.2818679753990431,-1.0540000000000003,-0.4509999999999996,True,False,0.0988584317266941,0.6330108106136322,0.7702431797981262,0.03846612703055143,0.06608765386044979,0.10954417809844016,0.02569267516955733,0.7397835373878479,0.04364745654165745,0.4605519711971283,0.904151976108551,0.9984516859054565,0.8794881224632263,0.0496865127235651,0.6485592365264893,-4.894396773204984,38.739770399658696,56.17063333702332,-2.9584076342471306,-3.2584749382008718,-2.8074716942400633,True,False,False,seed_baseline_missing_or_failed,False
A6PX-P055-0014,Cc1ccc(C(=O)N2CCO[C@@]3(COCCN(c4cnccn4)C3)C2)cc1C,56_s1p1_partial,partial,P21453__Q99500,P21453,Q99500,56_s1p1_partial::ZINC000096076727,ZINC000096076727,0.6285714285714286,382.4640000000001,1.84144,67.79,2,0,6,0.7896225586614185,3.568707703595398,-7.113,-5.349,-1.7640000000000002,-1.7169999999999996,0.1836742285194694,-1.0540000000000003,-0.71,True,False,0.4161532551050186,0.9196107745170593,0.9570018291473389,0.08509839326143265,0.2696630835533142,0.10664262771606445,0.00787511239759624,0.9025670528411865,0.048652015067636965,0.5457929044961929,0.7848764181137085,0.9999070286750793,0.9886028170585632,0.30868059396743774,0.6693918287754059,-4.543411142112007,60.86098767132088,45.51546627310262,-4.242056307717709,-2.5333166697978395,2.039644795038055,True,False,False,seed_baseline_missing_or_failed,False
A6PX-P055-0017,Cc1ccnc(C)c1C(=O)N1CCO[C@@]2(COCCN(c3cnccn3)C2)C1,56_s1p1_partial,partial,P21453__Q99500,P21453,Q99500,56_s1p1_partial::ZINC000096076727,ZINC000096076727,0.6521739130434783,383.4520000000001,1.2364399999999995,80.68000000000002,2,0,7,0.7716644768063843,3.8201384728261676,-6.598,-4.813,-1.7429999999999994,-1.5810000000000004,0.21725765553574597,-1.0540000000000003,-0.6889999999999992,True,True,0.38710741996765136,0.8792545437812805,0.9576278567314148,0.01255916552618146,0.029331819713115694,0.01812572721391916,0.0021126118255779145,0.6892626404762268,0.034536623302847146,0.5735282808542251,0.715366780757904,0.9997718214988709,0.9843798041343689,0.056665369868278505,0.5112111806869507,-4.532450935406962,39.749743408365724,25.108232176420284,2.6029879668952196,-1.5173463645371652,2.847143213317879,True,False,False,seed_baseline_missing_or_failed,False
A6PX-P055-0005,O=C(Nc1ncccc1F)N1CCO[C@@]2(COCCN(c3cnccn3)C2)C1,56_s1p1_partial,partial,P21453__Q99500,P21453,Q99500,56_s1p1_partial::ZINC000096076727,ZINC000096076727,0.581081081081081,388.4030000000001,1.1503999999999999,92.71000000000001,2,1,7,0.8249738942608044,3.832484042974176,-7.226,-5.515,-1.742,-1.2970000000000006,0.21616403236636927,-1.0540000000000003,-0.6879999999999997,True,False,0.40960168540477754,0.8710950016975403,0.9498878836631774,0.03232252933084965,0.04590902514755726,0.014746178407222033,0.005469244834966957,0.5793533325195312,0.03496718099340797,0.6867875427007675,0.8366641044616699,0.9989493250846863,0.8685286641120911,0.01679476834833622,0.3141346573829651,-4.564121958095874,37.41384654984053,11.426634546660555,0.39335232622425986,-2.491650057994357,-0.10196733541210926,True,False,False,seed_baseline_missing_or_failed,False
A6PX-P055-0018,Cc1nccc(C(=O)N2CCO[C@@]3(COCCN(c4cnccn4)C3)C2)c1C,56_s1p1_partial,partial,P21453__Q99500,P21453,Q99500,56_s1p1_partial::ZINC000096076727,ZINC000096076727,0.6521739130434783,383.4520000000001,1.2364399999999995,80.68000000000002,2,0,7,0.7716644768063843,3.833847874535569,-6.593,-4.863,-1.6560000000000006,-1.3770000000000007,0.15199634498529488,-1.0540000000000003,-0.6020000000000003,True,False,0.38154388666152955,0.870111346244812,0.960385513305664,0.01461839471012354,0.029962011612951756,0.018965313211083412,0.0026578929042443632,0.7331123173236846,0.034121542051434514,0.6146777987480163,0.7233631134033203,0.9997832179069519,0.9810100317001342,0.05904183685779572,0.5465516030788422,-4.5603407332166865,40.31690182022983,25.33384862344079,0.11999808955314109,-1.5128633787040686,2.8457144418392666,True,False,False,seed_baseline_missing_or_failed,False
A6PX-P055-0004,Cc1cccc(C(=O)N2CCO[C@@]3(COCCN(c4cnccn4)C3)C2)c1O,56_s1p1_partial,partial,P21453__Q99500,P21453,Q99500,56_s1p1_partial::ZINC000096076727,ZINC000096076727,0.6428571428571429,384.4360000000001,1.2386199999999998,88.02,2,1,7,0.8333452468618783,3.685369242056937,-6.18,-5.15,-1.0579999999999998,-1.005,0.45659683164326337,-1.0540000000000003,-0.0039999999999995595,False,False,0.40531601905822756,0.7680547714233399,0.8910685300827026,0.04129313826560974,0.07526779137551784,0.060515329241752625,0.006951624224893749,0.6665502846240997,0.038793161138892175,0.4324770629405975,0.7111856460571289,0.9994281172752381,0.926847267150879,0.09093272536993027,0.589988499879837,-4.916375713024161,73.60009681595398,43.30239757362969,-19.949995136020917,-3.0821088508763888,-3.662500522595329,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P058-0071,Cc1cccc(NC(=O)C[C@@H]2CCC3O[C@]4(CCCc5ccccc54)[C@@H](O)[C@H]3NC2=O)c1F,58_fpr1_full,full,P21462__P25090,P21462,P25090,58_fpr1_full::ZINC000008624247,ZINC000008624247,0.38202247191011235,452.5260000000003,3.349020000000002,87.66000000000001,3,3,4,0.6666431841732161,4.677427680678465,-8.612,-6.815,-1.8139999999999992,-1.5510000000000002,0.25964890825026704,-1.726,-0.08799999999999919,True,False,0.5525153160095215,0.7701326131820678,0.7633980751037598,0.017795654525980354,0.44560669660568236,0.23973510190844535,0.07963027507066726,0.7180100321769715,0.23325760066509246,0.2329750046133995,0.6391872882843017,0.9987904787063598,0.7802387952804566,0.8662374138832092,0.7998345613479614,-5.1250621372317395,61.68502420201969,67.65727328207394,40.82957270858195,-4.05593077566869,6.58557265335553,True,True,True,dual_endpoint_improved,True
A6PX-P063-0122,Cc1[nH+]cc2c(c1C)C[C@@H]1[C@H](c3nnn[nH]3)NCCN1C2=O,60_p21728_full,full,P08912__P21728,P21728,P08912,60_p21728_full::ZINC000731855411,ZINC000731855411,0.2222222222222222,299.338,-0.07705999999999963,99.69000000000001,1,2,6,0.7640045711806916,4.081016523062333,-9.534,-5.916,-3.665,-3.6030000000000006,0.03974362282877001,-2.1910000000000007,-1.4739999999999993,True,False,0.41583037078380586,0.7589452981948852,0.9567114114761353,0.025285786483436823,0.033472748147323726,0.006615475757280364,0.0007920632484456292,0.02091141529381275,0.07521039023995399,0.10004613175988197,0.8795049309730529,0.9996904134750366,0.6420272588729858,0.031156429555267096,0.0649564377963543,-5.395485082284229,5.461467451453887,4.780172984355486,-8.511734299423807,-1.5897149992145985,-2.998255918768213,True,True,True,dual_endpoint_improved,True
A6PX-P063-0101,Cc1cc([C@@H](O)[C@]23CCC=C(c4nnn[nH]4)[C@H]2C3)ccc1O,60_p21728_full,full,P08912__P21728,P21728,P08912,60_p21728_full::ZINC000731855411,ZINC000731855411,0.1927710843373494,298.346,2.13082,94.92,3,3,5,0.8065866617935911,4.329931696827671,-9.27,-6.508,-2.7879999999999994,-1.6749999999999998,0.5658851473576592,-2.1910000000000007,-0.5969999999999986,True,False,0.20095515251159668,0.35055200159549715,0.8693596601486206,0.2026457741856575,0.37233219742774964,0.23377524465322494,0.025968739576637746,0.3113308995962143,0.13445614762604235,0.068723863363266,0.37686206102371217,0.9999272227287292,0.5224419832229614,0.03302719369530678,0.060951171815395354,-5.384649779916036,37.619838780973666,13.331977517905349,-38.65605056498962,-3.3791751620619492,-5.481300211206235,True,True,False,not_dual_endpoint_improved,False
A6PX-P063-0016,Cc1ccc(C(=O)N2C=C(c3nnn[nH]3)CCC2)cc1C,60_p21728_full,full,P08912__P21728,P21728,P08912,60_p21728_full::ZINC000731855411,ZINC000731855411,0.3055555555555556,283.335,2.0936399999999997,74.77000000000001,2,1,4,0.9154354348830263,2.7067174665860154,-9.627,-6.893,-2.7310000000000008,-2.705000000000001,0.016573070526207424,-2.1910000000000007,-0.54,True,True,0.21697232648730277,0.9096993803977966,0.9583940863609314,0.5127783834934234,0.8974521160125732,0.517912071943283,0.03372266124933958,0.4014903247356415,0.19500116109848023,0.08170266374945641,0.917692756652832,0.9999837398529052,0.9695480465888977,0.11829943135380745,0.10236109234392643,-4.964074677507486,51.7680885522888,46.000463795630885,-27.79505473346377,-2.781441180271794,-2.0826081141605135,True,True,False,not_dual_endpoint_improved,False
A6PX-P063-0100,O=C(c1ccc(O)c(O)n1)N1CC=C(O)C(n2cccn2)C1,60_p21728_full,full,P08912__P21728,P21728,P08912,60_p21728_full::ZINC000731855411,ZINC000731855411,0.22784810126582278,302.29,-0.06670000000000043,108.28999999999999,2,2,6,0.8071991451157929,3.404447023639615,-8.489,-5.916,-2.5730000000000004,-2.1420000000000003,0.21086225098127181,-2.1910000000000007,-0.3819999999999997,True,True,0.0657209511846304,0.5047796726226806,0.8767572999000549,0.0026022337086033078,0.013208258431404829,0.008260234456975013,0.0017295663710683584,0.0024957777408417315,0.07023536935448646,0.1038763739168644,0.706893789768219,0.9947831511497498,0.24322253465652466,0.00642427010461688,0.016006326675415038,-5.090609814538427,57.74099757691904,-33.108195623530605,-46.11322542754756,-3.050065734633613,-2.0816592780752243,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P063-0115,Cc1ccc(C(=O)N2CCN=C(n3cnnn3)C2)cc1C,60_p21728_full,full,P08912__P21728,P21728,P08912,60_p21728_full::ZINC000731855411,ZINC000731855411,0.24324324324324326,284.32300000000004,0.6925399999999999,76.27000000000001,1,0,6,0.7718484618303427,2.7425720819706303,-9.036,-6.484,-2.5540000000000003,-2.5340000000000007,0.03536790761253583,-2.1910000000000007,-0.36299999999999955,True,True,0.3730051726102829,0.968594741821289,0.9817043781280518,0.4288482844829559,0.7296972632408142,0.15426898151636123,0.011724341800436378,0.30761223286390305,0.15179858691990375,0.08994365632534027,0.869275712966919,0.9999745845794678,0.9824617624282836,0.2477536328136921,0.08074341528117657,-4.738486916715242,61.74427717311903,47.71212837735826,7.0056496435242535,-1.8138200324856253,4.585202432815482,False,False,False,not_evaluated_cross_domain_gate,False
