detail_record_id,pair_id,zinc_id,direction,target_uniprot,offtarget_uniprot,source_stage,hotspot_bw,fast_rank,fast_target,fast_offtarget,fast_dd,detail_target_median,detail_offtarget_median,detail_dd_median,detail_dd_best,detail_dd_worst,detail_dd_sd,target_pose_stable,offtarget_pose_stable,high_confidence,pocketxmol_generated
A6BD-0094,P16473__P23945,ZINC000577691835,reverse,P23945,P16473,wave1_detail_expansion,7.38x37,25,-9.213,-4.944,-4.268999999999999,-9.949,-5.46,-4.438,-4.64,-4.419,0.1000033332777796,True,False,True,False
A6BD-0071,P21452__Q969F8,ZINC000019655459,forward,P21452,Q969F8,wave2_diverse_expansion,2.49x49,36,-7.581,-5.886,-1.695000000000001,-7.658,-6.44,-1.183999999999999,-1.258,-1.151,0.0447387478094276,True,True,True,False
A6BD-0262,P21452__Q969F8,ZINC000247711380,reverse,Q969F8,P21452,wave1_detail_expansion,2.49x49,17,-8.881,-6.104,-2.777,-8.881,-6.477,-2.222999999999999,-2.458,-2.141999999999999,0.1340157536344975,False,True,False,False
A6BD-0087,P21917__P35462,ZINC000014992688,forward,P21917,P35462,original_forward_top10,3.38x38,9,-5.733,-2.605,-3.128,-6.263,-4.602,-1.539000000000001,-1.821,-1.069,0.3101841746804988,False,False,False,False
A6BD-0098,P25021__P35346,ZINC000767285673,forward,P25021,P35346,wave3_residual_rank31_100,2.50x50,51,-6.072,-3.847,-2.225,-5.961,-4.116,-1.725,-1.917000000000001,-1.524,0.1604556013356968,False,False,False,False
A6BD-0178,P25021__P35346,ZINC000072373140,reverse,P35346,P25021,wave4_expansion_rank101_200,2.50x50,178,-7.276,-5.174,-2.101999999999999,-7.267,-5.558,-1.709,-1.758,-1.558,0.0851156076560973,False,False,False,False
A6BD-0118,P28222__P28566,ZINC000020569088,forward,P28222,P28566,original_forward_top10,3.38x38,8,-6.848,-3.928,-2.92,-7.335,-4.67,-2.516,-2.679,-2.415,0.1087637603044119,True,True,True,False
A6BD-0126,P28222__P28566,ZINC000767806720,reverse,P28566,P28222,wave1_detail_expansion,3.38x38,18,-7.133,-5.014,-2.119,-7.333,-5.792,-1.541,-1.588,-1.487,0.0412660743091572,True,False,True,False
A6BD-0119,P28222__P30939,ZINC000015414927,forward,P28222,P30939,original_forward_top10,7.33x32,2,-8.968,-6.148,-2.82,-8.913,-6.553,-2.36,-2.624000000000001,-1.329,0.5587368690975111,True,False,True,False
A6BD-0149,P28222__P30939,ZINC000514289412,reverse,P30939,P28222,wave1_detail_expansion,7.33x32,10,-8.872,-5.919,-2.953,-8.806,-6.351,-2.475000000000001,-2.490999999999999,-2.452000000000001,0.0160069429380564,True,True,True,False
A6BD-0127,P28566__P30939,ZINC000015415517,forward,P28566,P30939,wave2_diverse_expansion,6.58x58,89,-8.883,-6.704,-2.178999999999999,-8.836,-7.769,-1.101,-1.392999999999999,-1.067,0.1463238417574747,True,True,True,False
A6BD-0150,P28566__P30939,ZINC000035677835,reverse,P30939,P28566,wave1_detail_expansion,6.58x58,11,-8.04,-4.421,-3.618999999999999,-8.079,-6.362,-1.704000000000001,-1.815,-1.667000000000001,0.0628879073343104,True,True,True,False
A6BD-0128,P28566__P34969,ZINC000732896794,forward,P28566,P34969,wave4_expansion_rank101_200,7.46x46,142,-6.866,-5.214,-1.651999999999999,-6.886,-5.707,-1.173,-1.379,-1.145,0.1043370606362966,False,False,False,False
A6BD-0175,P28566__P34969,ZINC000072327992,reverse,P34969,P28566,wave1_detail_expansion,7.46x46,10,-8.236,-4.921,-3.315,-8.094,-4.864,-2.935999999999999,-3.311999999999999,-2.823,0.2090364136274398,False,False,False,False
A6BD-0132,P30411__P51685,ZINC000745756805,forward,P30411,P51685,wave1_detail_expansion,2.60x60,16,-6.707,-4.626,-2.081,-6.41,-5.028,-1.369000000000001,-1.609,-1.359,0.1155662388223979,False,True,False,False
A6BD-0242,P30411__P51685,ZINC000675835656,reverse,P51685,P30411,wave1_detail_expansion,2.60x60,22,-8.918,-5.067,-3.850999999999999,-8.58,-5.126,-3.59,-3.877,-3.189000000000001,0.2821571666051854,False,False,False,False
A6BD-0135,P30550__P32247,ZINC001476229227,forward,P30550,P32247,original_forward_top10,5.35x36,2,-7.608,-4.17,-3.438,-7.211,-4.216,-2.995,-3.392,-2.377000000000001,0.4176332787931959,False,False,False,False
A6BD-0167,P30550__P32247,ZINC000746119001,reverse,P32247,P30550,wave1_detail_expansion,5.35x36,6,-5.552,-3.098,-2.454,-5.527,-3.672,-1.815,-1.855,-1.78,0.0306412938514171,False,False,False,False
A6BD-0136,P30559__P37288,ZINC000744389151,forward,P30559,P37288,original_forward_top10,6.51x51,3,-6.947,-3.455,-3.492,-5.991,-4.835,-1.302,-1.819,-1.156,0.2844437065962654,False,False,False,False
A6BD-0141,P30872__P35346,ZINC000013163419,forward,P30872,P35346,original_forward_top10,3.25x25,1,-6.738,-3.495,-3.243,-6.178,-4.599,-2.077999999999999,-2.786,-1.173,0.6601395475368993,False,False,False,False
A6BD-0179,P30872__P35346,ZINC000009449927,reverse,P35346,P30872,wave2_diverse_expansion,3.25x25,75,-6.321,-4.444,-1.877,-6.321,-4.84,-1.481,-1.608,-1.319,0.1182718149950451,False,False,False,False
A6BD-0145,P30874__P32745,ZINC000674055795,forward,P30874,P32745,original_forward_top10,7.39x38,5,-8.768,-4.732,-4.036,-9.215,-5.467,-3.747999999999999,-3.762,-3.539000000000001,0.1019836588217277,True,True,True,False
A6BD-0171,P30874__P32745,ZINC000239432798,reverse,P32745,P30874,wave1_detail_expansion,7.39x38,22,-9.949,-6.524,-3.425,-10.09,-6.51,-3.58,-3.610999999999999,-3.544,0.0273780122645078,True,True,False,False
A6BD-0160,P32246__P41597,ZINC000009582127,forward,P32246,P41597,wave4_expansion_rank101_200,6.44x44,116,-5.825,-3.879,-1.946,-6.186,-4.7,-1.378,-1.486,-1.114,0.1562561998769968,False,False,False,False
A6BD-0205,P32246__P41597,ZINC000002637336,reverse,P41597,P32246,wave1_detail_expansion,6.44x44,15,-5.889,-3.809,-2.08,-5.892,-4.523,-1.269,-1.369000000000001,-1.151,0.0890991956566765,False,False,False,False
A6BD-0164,P32246__P51681,ZINC000740845881,forward,P32246,P51681,wave4_expansion_rank101_200,6.44x44,185,-6.181,-4.325,-1.856,-6.42,-4.781,-1.630999999999999,-1.7,-1.326,0.1625019658000755,False,False,False,False
A6BD-0239,P32246__P51681,ZINC001467692882,reverse,P51681,P32246,wave1_detail_expansion,6.44x44,18,-6.203,-3.824,-2.379,-5.875,-4.255,-1.606000000000001,-2.544,-1.584,0.4474530391250263,False,False,False,False
A6BD-0199,P35346__P41145,ZINC000785589286,reverse,P41145,P35346,wave1_detail_expansion,3.25x25,3,-6.191,-3.096,-3.095,-6.139,-4.042,-2.047,-2.187,-1.967,0.0909212113132389,False,False,False,False
A6BD-0185,P35346__P51677,ZINC000674640746,forward,P35346,P51677,original_forward_top10,6.59x59,5,-7.476,-4.569,-2.907,-7.472,-5.567,-1.872,-1.935,-1.697,0.1006854287151597,False,True,False,False
A6BD-0234,P35346__P51677,ZINC000244933340,reverse,P51677,P35346,wave1_detail_expansion,6.59x59,3,-7.329,-4.147,-3.181999999999999,-7.306,-4.544,-2.767,-2.934,-2.762,0.0799291352803635,True,False,False,False
A6BD-0202,P41143__P41146,ZINC000032815315,reverse,P41146,P41143,wave1_detail_expansion,6.55x55,8,-10.827,-5.912,-4.915,-10.829,-6.453,-4.398000000000001,-4.399999999999999,-4.342,0.0268824602048747,True,True,True,False
A6BD-0240,P41597__P51681,ZINC000466750022,reverse,P51681,P41597,wave1_detail_expansion,5.42x43,7,-7.133,-3.906,-3.227,-7.184,-4.583,-2.601,-2.756,-2.584,0.0773864759933329,True,False,True,False
A6BD-0249,P46093__Q15743,ZINC000767767435,reverse,Q15743,P46093,wave1_detail_expansion,2.60x60,1,-5.858,-2.903,-2.955,-5.489,-3.452,-1.994,-2.195,-1.856,0.139190516918359,False,False,False,False
A6BD-0212,P46094__P51685,ZINC000575426302,forward,P46094,P51685,original_forward_top10,3.33x33,1,-9.12,-4.876,-4.244,-9.11,-5.413,-3.696999999999999,-3.727,-3.662,0.0265622957508488,True,False,True,False
A6BD-0244,P46094__P51685,ZINC001164900214,reverse,P51685,P46094,wave1_detail_expansion,3.33x33,6,-8.676,-5.122,-3.554,-8.842,-6.267,-2.572,-2.739000000000001,-2.559,0.0819606951871176,True,True,True,False
A6BD-0255,P49019__Q8TDS4,ZINC000786398601,reverse,Q8TDS4,P49019,wave1_detail_expansion,3.25x25,14,-6.59,-4.072,-2.518,-6.357,-4.195,-2.162,-2.177,-1.926,0.1149502307764343,False,False,False,False
A6BD-0228,P49682__Q9NPB9,ZINC000035379167,forward,P49682,Q9NPB9,original_forward_top10,2.50x50,1,-7.708,-4.885,-2.823,-7.288,-5.596,-1.77,-2.031,-1.212000000000001,0.3416050350916972,True,False,True,False
A6BD-0295,P49682__Q9NPB9,ZINC000040157288,reverse,Q9NPB9,P49682,wave1_detail_expansion,2.50x50,14,-6.394,-3.784,-2.61,-6.076,-4.219,-1.856999999999999,-2.079,-1.69,0.1593368200455316,False,True,False,False
A6BD-0252,Q8NDV2__Q96P69,ZINC000737626578,forward,Q8NDV2,Q96P69,wave2_diverse_expansion,5.58x58,86,-7.57,-5.598,-1.972,-7.499,-5.796,-1.691000000000001,-1.713,-1.298,0.1906590907585813,True,False,True,False
A6BD-0270,Q8NDV2__Q96P69,ZINC000743110078,reverse,Q96P69,Q8NDV2,wave1_detail_expansion,5.58x58,20,-6.493,-4.035,-2.458,-6.887,-4.738,-2.077999999999999,-2.180999999999999,-1.267,0.4087550203565292,False,False,False,False
A6BD-0260,Q92633__Q9HBW0,ZINC000466655834,forward,Q92633,Q9HBW0,original_forward_top10,5.47x47,1,-6.739,-4.542,-2.197,-6.512,-4.883,-1.56,-1.776999999999999,-1.531,0.1097704675928617,True,False,True,False
A6BD-0293,Q92633__Q9HBW0,ZINC000786960768,reverse,Q9HBW0,Q92633,wave1_detail_expansion,5.47x47,24,-7.816,-4.093,-3.723,-8.773,-4.62,-4.219,-4.407999999999999,-3.722,0.2893145155170903,True,False,True,False
A6BD-0264,Q969N4__Q96RI8,ZINC001164963486,forward,Q969N4,Q96RI8,original_forward_top10,3.43x43,7,-7.266,-5.19,-2.076,-7.269,-5.996,-1.273,-1.469,-1.219,0.107409910571087,True,False,True,False
A6BD-0272,Q969N4__Q96RI8,ZINC000727755110,reverse,Q96RI8,Q969N4,wave1_detail_expansion,3.43x43,18,-8.815,-4.847,-3.967999999999999,-8.913,-4.853,-4.021,-4.069,-4.016999999999999,0.0236267268622259,True,False,True,False
A6BD-0265,Q969N4__Q96RI9,ZINC000683308831,forward,Q969N4,Q96RI9,wave1_detail_expansion,2.53x53,16,-5.512,-3.466,-2.045999999999999,-5.33,-4.204,-1.073,-1.263,-1.014,0.1062397707494178,False,True,False,False
A6BD-0274,Q969N4__Q96RI9,ZINC000001033356,reverse,Q96RI9,Q969N4,wave1_detail_expansion,2.53x53,27,-6.497,-4.123,-2.374,-6.471,-4.798,-1.721,-1.723,-1.635,0.0410203201677738,True,False,True,False
A6BD-0267,Q96LB0__Q96LB2,ZINC000253375912,forward,Q96LB0,Q96LB2,original_forward_top10,2.40x40,1,-9.188,-5.406,-3.782,-9.248,-6.142,-3.12,-3.306999999999999,-3.014000000000001,0.1211307833156647,True,False,True,False
A6BD-0269,Q96LB0__Q96LB2,ZINC001164888647,reverse,Q96LB2,Q96LB0,wave1_detail_expansion,2.40x40,16,-7.959,-5.715,-2.244,-8.038,-6.254,-1.667000000000001,-1.876,-1.561000000000001,0.1308697401574895,False,True,False,False
A6BD-0273,Q96RI8__Q96RI9,ZINC000020533254,forward,Q96RI8,Q96RI9,original_forward_top10,2.53x53,8,-6.698,-4.262,-2.436,-6.633,-4.801,-1.885,-1.944,-1.282,0.2991346779555248,False,False,False,False
A6BD-0275,Q96RI8__Q96RI9,ZINC000012420609,reverse,Q96RI9,Q96RI8,wave4_expansion_rank101_200,2.53x53,175,-6.849,-5.32,-1.529,-6.648,-5.53,-1.114,-1.331,-1.109,0.1034934243751208,True,False,True,False
A6BD-0280,Q99500__Q9H228,ZINC000020529428,forward,Q99500,Q9H228,wave1_detail_expansion,5.40x40,20,-6.176,-4.013,-2.163,-6.861,-5.068,-1.624,-1.793,-1.533,0.1077249584203527,True,False,False,False
A6BD-0290,Q99500__Q9H228,ZINC000077521877,reverse,Q9H228,Q99500,wave1_detail_expansion,5.40x40,22,-8.17,-5.915,-2.255,-8.185,-5.981,-2.199000000000001,-2.205,-2.193,0.0048989794855665,True,True,True,False
A6BD-0283,Q99679__Q9Y2T5,ZINC000096274923,forward,Q99679,Q9Y2T5,wave1_detail_expansion,7.35x34,18,-7.443,-4.739,-2.704,-7.44,-6.141,-1.297000000000001,-1.408,-1.293,0.0532937352999601,True,True,True,False
A6BD-0299,Q99679__Q9Y2T5,ZINC000004742752,reverse,Q9Y2T5,Q99679,wave1_detail_expansion,7.35x34,1,-10.332,-5.698,-4.634,-9.702,-5.68,-4.022,-4.529000000000001,-3.475,0.4303969743801134,True,True,True,False
A6BD-0284,Q9BPV8__Q9H244,ZINC001471430099,forward,Q9BPV8,Q9H244,original_forward_top10,7.42x41,4,-6.389,-4.122,-2.267,-6.191,-4.582,-1.615,-1.918,-1.199,0.2947364170840713,True,False,True,False
A6BD-0291,Q9BPV8__Q9H244,ZINC000732270674,reverse,Q9H244,Q9BPV8,wave1_detail_expansion,7.42x41,3,-5.951,-3.353,-2.597999999999999,-5.922,-3.873,-1.768,-2.048999999999999,-1.308,0.3054399377218956,False,False,False,False
A6BD-0292,Q9H3N8__Q9Y5N1,ZINC000096402717,forward,Q9H3N8,Q9Y5N1,original_forward_top10,3.38x38,5,-7.673,-4.094,-3.579,-7.733,-5.964,-1.81,-1.816999999999999,-1.332,0.2269992657844218,True,False,True,False
A6BD-0302,Q9H3N8__Q9Y5N1,ZINC001164404988,reverse,Q9Y5N1,Q9H3N8,wave1_detail_expansion,3.38x38,1,-8.996,-5.871,-3.125,-8.948,-6.684,-2.264,-2.322000000000001,-2.104000000000001,0.0921882132740766,False,False,False,False
